AMV €50,000 	 2 Forest Grove, Killybrone, Killala, Mayo
€245,000 	 Carrs Cottage, Bunowen, Louisburgh, Mayo
POA 	 Lecanvey, Westport, Mayo
€270,000 	 The Arches, Castlebar Street, Newport, Mayo
€205,000  -€5,000 on 17th Sep 20 	 6 Chapel Street, Louisburgh, Mayo
€335,000 	 Buckfield, Kilmeena, Westport, Co Mayo, F28 HW53
AMV €70,000 	 Walsh Street, Ballina, Mayo
€355,000 	 Ballynanerroon Beg, Partry, Mayo
€215,000 	 17 Altamount Street, Westport, Mayo
€199,000 	 12 Bracklaghboy Village, Ballyhaunis, Mayo
€359,000 	 Mapel Lodge, Barley Hill, Westport, Mayo
€285,000 	 Glenbeg Cottage - Lot 2, Tourmakeady, Co Mayo, F12 D284
€100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
€590,000 	 Derrypark Lodge & Cottages - Lot 1a, Tourmakeady, Co Mayo, F12 VR83
€95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
€255,000  -€10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
€110,000 	 2 Rathunas , Swinford, Mayo
€89,000 	 15 The Maples, Ballyhaunis, Co. Mayo
€195,000 	 Gladree, Belmullet, Co. Mayo
AMV €35,000 	 9 Tara Court, Castlebar, Mayo
